2014-12-24 오후 10:45:01 Reply from 192.168.0.16; bytes=32 time<8 TTL=128
2014-12-24 오후 10:45:02 Reply from 192.168.0.16; bytes=32 time<8 TTL=128
2014-12-24 오후 10:45:03 Reply from 192.168.0.16; bytes=32 time<9 TTL=128
2014-12-24 오후 10:45:04 Reply from 192.168.0.16; bytes=32 time<32 TTL=128
2014-12-24 오후 10:45:05 Reply from 192.168.0.16; bytes=32 time<123 TTL=128
2014-12-24 오후 10:45:06 Reply from 192.168.0.16; bytes=32 time<40 TTL=128
2014-12-24 오후 10:45:58 Reply from 192.168.0.16; bytes=32 time<9 TTL=128
2014-12-24 오후 10:45:59 Reply from 192.168.0.16; bytes=32 time<3 TTL=128
2014-12-24 오후 10:46:00 Reply from 192.168.0.16; bytes=32 time<7 TTL=128
2014-12-24 오후 10:46:01 Reply from 192.168.0.16; bytes=32 time<2 TTL=128
2014-12-24 오후 10:46:02 Reply from 192.168.0.16; bytes=32 time<4 TTL=128
2014-12-24 오후 10:46:03 Reply from 192.168.0.16; bytes=32 time<6 TTL=128
2014-12-24 오후 10:46:04 Reply from 192.168.0.16; bytes=32 time<12 TTL=128
2014-12-24 오후 10:46:05 Reply from 192.168.0.16; bytes=32 time<3 TTL=128
2014-12-24 오후 10:46:06 Reply from 192.168.0.16; bytes=32 time<10 TTL=128
